ÐòºÅ,dV_dDist
1,0.003363509
2,0.021529403
3,0.021529403
4,0.025281101
5,0.032164512
6,0.037401189
7,0.043717498
8,0.043717498
9,0.045421415
10,0.045421415
11,0.055340704
12,0.056433097
13,0.056433097
14,0.057253847
15,0.057263425
16,0.057263425
17,0.057762614
18,0.062598587
19,0.073331035
20,0.074173774
21,0.076906848
22,0.076906848
23,0.087776972
24,0.090747846
25,0.090747846
26,0.091079183
27,0.098693564
28,0.10355336
29,0.10355336
30,0.103840885
31,0.123033912
32,0.123351152
33,0.123351152
34,0.132006953
35,0.136660944
36,0.136660944
37,0.137435232
38,0.139718987
39,0.139801305
40,0.14371259
41,0.14371259
42,0.147350556
43,0.156700956
44,0.158971615
45,0.169361203
46,0.189107136
47,0.189107136
48,0.19379661
49,0.204568631
50,0.204568631
51,0.215828766
52,0.215828766
53,0.2239187
54,0.224237655
55,0.224237655
56,0.226942794
57,0.232762497
58,0.233919794
59,0.246489763
60,0.259752682
61,0.259752682
62,0.264841553
63,0.264841553
64,0.269900565
65,0.269900565
66,0.271862943
67,0.301878804
68,0.301878804
69,0.302615697
70,0.304467446
71,0.304467446
72,0.326001146
73,0.334712302
74,0.334712302
75,0.357455926
76,0.357455926
77,0.358539316
78,0.368982856
79,0.368982856
80,0.371475457
81,0.389226289
82,0.389226289
83,0.405496133
84,0.405496133
85,0.407969447
86,0.407969447
87,0.409367072
88,0.412997517
89,0.421350237
90,0.425534239
91,0.425534239
92,0.432322371
93,0.432322371
94,0.443359964
95,0.444602698
96,0.446359133
97,0.446991425
98,0.446991425
99,0.460690061
100,0.477260079
101,0.477784716
102,0.477784716
103,0.478605719
104,0.495856581
105,0.500000274
106,0.500000274
107,0.503187522
108,0.511940442
109,0.517676757
110,0.518424464
111,0.51956365
112,0.51956365
113,0.521270218
114,0.521270218
115,0.53145819
116,0.533333303
117,0.542162228
118,0.542162228
119,0.54245307
120,0.54245307
121,0.548388126
122,0.548388126
123,0.555667665
124,0.562350768
125,0.566591754
126,0.566591754
127,0.567654278
128,0.567654278
129,0.581430241
130,0.582587271
131,0.583561808
132,0.588439285
133,0.588439285
134,0.601789042
135,0.603211701
136,0.606865769
137,0.61204792
138,0.61204792
139,0.618132074
140,0.618132074
141,0.629936846
142,0.629936846
143,0.630765172
144,0.631100803
145,0.635266332
146,0.637656295
147,0.641087312
148,0.651812729
149,0.653207584
150,0.659512091
151,0.681794568
152,0.687874659
153,0.691849395
154,0.693221471
155,0.693221471
156,0.697562869
157,0.701075416
158,0.701075416
159,0.703936011
160,0.703936011
161,0.704775918
162,0.705038885
163,0.715010587
164,0.715010587
165,0.725562535
166,0.732450625
167,0.747822939
168,0.747822939
169,0.764073533
170,0.776472741
171,0.776472741
172,0.776998714
173,0.776998714
174,0.782797539
175,0.782797539
176,0.789181814
177,0.789181814
178,0.796532857
179,0.799234017
180,0.812702621
181,0.812702621
182,0.820942415
183,0.820942415
184,0.821609346
185,0.827764724
186,0.830981237
187,0.836301071
188,0.837963447
189,0.837963447
190,0.838935159
191,0.853629176
192,0.853629176
193,0.861175263
194,0.864134092
195,0.864134092
196,0.869240048
197,0.869240048
198,0.869343674
199,0.869343674
200,0.869971226
201,0.869971226
202,0.877536526
203,0.877536526
204,0.881519898
205,0.887220464
206,0.887220464
207,0.887666675
208,0.891289958
209,0.891289958
210,0.894260061
211,0.894260061
212,0.9020403
213,0.9020403
214,0.902250001
215,0.904588822
216,0.904588822
217,0.906944362
218,0.918799116
219,0.920229437
220,0.920229437
221,0.922312861
222,0.930702947
223,0.938762876
224,0.951604804
