Long,Lat,v1_sp_75_555_111_1021_0__real3,Name,overall_min_distance,neighbors_distance,self_mean_distance,self_density
-0.25,-2.45,-2.379865646,name809,0.00999999999999979,1593.36982612958,2.65561637688263,0.00376560413132359
-0.13,-2.28,-1.153175116,name339,0.15,1586.76728547423,2.64461214245705,0.0567190922222109
0.04,-2.12,-1.302037477,name488,0.233452350598575,1586.30968896479,2.64384948160799,0.088300166943161
0,-1.88,-0.491564065,name398,0.220227155455452,1582.07152083843,2.63678586806405,0.0835210618058814
-0.26,-2.16,-1.089934707,name709,0.176918060129541,1581.43754342891,2.63572923904819,0.067123002434586
0.04,-1.55,-0.957275867,name696,0.189736659610103,1587.15469776633,2.64525782961055,0.0717270949871972
-0.22,-1.87,-0.731262565,name865,0.212132034355964,1579.70575647667,2.63284292746111,0.0805714735745843
-0.27,-1.53,-0.271045327,name879,0.219544984001002,1586.42351551513,2.64403919252522,0.0830339370995946
-0.66,-2.49,-0.878642261,name237,0.199248588451713,1616.09526191221,2.69349210318701,0.0739740755935228
-0.91,-2.71,0.705543041,name298,0.257099202643649,1662.28983252617,2.77048305421029,0.0927994135365442
-1.19,-3.09,1.20531702,name944,0.215870331449229,1757.02851753739,2.92838086256232,0.0737166173324679
-0.96,-3.54,0.069896474,name748,0.191049731745428,1844.95736971378,3.07492894952296,0.0621314296628113
-1.24,-3.3,0.689809918,name499,0.178044938147649,1809.47710518857,3.01579517531429,0.0590374769497049
-0.61,-3.13,-0.11375048,name103,0.184390889145857,1722.37622013516,2.8706270335586,0.0642336628862843
-0.39,-3.48,0.489152193,name731,0.194164878389476,1800.34424169019,3.00057373615031,0.0647092507843471
-0.59,-3.77,-1.346446633,name59,0.233238075793812,1888.56657570326,3.14761095950543,0.0741000329438617
-0.24,-3.09,-0.068549238,name632,0.177200451466693,1705.95034114512,2.8432505685752,0.0623231921326905
-0.09,-3.25,1.039888024,name28,0.214709105535839,1742.34771411049,2.90391285685081,0.0739378611273767
0.04,-2.91,0.262431473,name541,0.1802775637732,1674.13622236246,2.79022703727077,0.0646103565642228
0.32,-2.49,-0.576669216,name483,0.208086520466848,1625.5732525583,2.70928875426383,0.0768048515092256
0.49,-1.84,1.174212694,name187,0.261725046566048,1597.75127075529,2.66291878459214,0.0982850277223659
0.35,-1.05,-1.111618996,name651,0.294278779391243,1612.6889933092,2.68781498884867,0.10948624835123
0.04,-0.83,0.47036916,name536,0.228473193175917,1621.17290207194,2.70195483678657,0.0845584796848938
0.64,-1,-0.452721536,name409,0.294278779391243,1621.55543573184,2.7025923928864,0.108887592581784
0.56,-1.37,-0.950103879,name584,0.2,1604.05381822915,2.67342303038191,0.074810457502279
0.65,-1.59,1.209254265,name767,0.218403296678416,1603.37996162061,2.67229993603436,0.0817285865756977
0.98,-1.4,-0.003615558,name804,0.186815416922694,1620.11150943293,2.70018584905488,0.0691861328686256
0.93,-1.22,0.366864711,name862,0.186815416922694,1621.84676269657,2.70307793782762,0.0691121089437886
0.56,-2.35,1.252412081,name842,0.180277563773199,1625.40314268573,2.70900523780955,0.0665475139202641
0.82,-2.13,1.423732042,name11,0.180277563773199,1625.16574856666,2.70860958094443,0.0665572347677885
0.76,-2.34,1.283791423,name69,0.200249843945008,1636.32542900755,2.72720904834592,0.0734266572144374
0.45,-2.82,-0.445315182,name256,0.189736659610102,1676.81060373771,2.79468433956285,0.0678919822622192
0.28,-3.16,1.27520895,name687,0.180277563773199,1731.69727211492,2.88616212019153,0.0624627294884031
-0.22,-3.76,0.110339254,name592,0.208086520466848,1875.26358399739,3.12543930666231,0.0665783270925411
0.46,-3.29,-0.668455243,name87,0.222036033111745,1768.50583695328,2.94750972825547,0.0753300425044433
0.76,-2.83,-0.090467267,name302,0.263058928759318,1697.75793390706,2.82959655651176,0.0929669383976099
0.8,-2.57,0.373840898,name476,0.233452350598575,1663.1971620354,2.771995270059,0.0842181634002593
1.15,-2.33,-0.801696777,name202,0.341760149812701,1665.34437161158,2.77557395268597,0.123131343512564
0.89,-3.26,-0.377572566,name147,0.250599281722833,1791.34777913345,2.98557963188908,0.083936559268483
0.44,-3.75,-0.14097634,name48,0.237697286480094,1886.96424839152,3.14494041398586,0.0755808553392715
-2.82,-3.27,-0.957675278,name41,0.206155281280883,2072.66335825512,3.4544389304252,0.0596783690298175
1.66,-4.56,-1.262913466,name42,0.256124969497313,2281.11506590375,3.80185844317292,0.0673683603231578
-0.05,-1.04,-1.113321424,name43,0.228473193175917,1608.45211189725,2.68075351982876,0.0852272286452176
0.24,-3.45,-0.963230252,name44,0.21095023109729,1797.72419527157,2.99620699211929,0.0704057602335677
-2.92,1.73,-0.284631222,name45,0.223606797749979,2053.64663873848,3.42274439789747,0.0653296804422021
2.89,-3.2,-1.002266288,name46,0.198494332412793,2108.67984139195,3.51446640231991,0.0564792232134488
4.13,3.71,0.512837887,name47,0.200997512422418,2547.94201292481,4.24657002154135,0.0473317315863928
1.68,2.68,-0.741047263,name48,0.226715680975093,1781.00720100963,2.96834533501605,0.0763777981964039
-4.08,-0.32,0.235484019,name49,0.257099202643649,2167.68047837096,3.61280079728494,0.0711634039819914
3.55,-0.8,-0.58517307,name50,0.265706605111728,1957.04668103255,3.26174446838758,0.081461502483387
-4.71,4.14,-1.596356034,name51,0.205182845286832,3202.93869336434,5.33823115560724,0.0384364856646025
-2.92,-1.96,-0.888810456,name52,0.182482875908947,1883.10853611556,3.13851422685926,0.0581430774942062
-1.88,-0.3,-0.426082164,name53,0.187882942280559,1718.6072199246,2.864345366541,0.0655936761241358
2.93,3.44,-0.737288058,name54,0.222036033111745,2110.03115702806,3.51671859504676,0.0631372761597925
-0.91,-3.18,1.013202906,name55,0.294108823397055,1751.21120892211,2.91868534820352,0.100767567692106
1.23,-1.21,0.026109878,name56,0.184390889145858,1637.74796968293,2.72957994947155,0.0675528442321522
2.65,-4.32,-1.179628491,name57,0.255538646783613,2381.50948210503,3.96918247017504,0.0643806750391961
-1.78,3.74,-0.299739242,name58,0.233238075793812,2229.43618522308,3.7157269753718,0.0627705096041062
-1.08,-4.06,-1.175065517,name59,0.220227155455453,2014.07847212819,3.35679745354698,0.0656063282051017
0.66,0.21,1.679249525,name60,0.290688837074973,1652.65529015788,2.75442548359646,0.105535197378228
0.06,0.22,-1.05036819,name61,0.268328157299975,1668.86174083048,2.78143623471748,0.0964710799229342
-4.88,0.38,-1.455524683,name62,0.331209903233584,2501.86692701092,4.16977821168486,0.0794310599795076
1.13,-0.01,-0.17944999,name63,0.21377558326432,1646.75868736591,2.74459781227652,0.0778895845169395
2,0.52,-0.392524719,name64,0.266270539113887,1689.20208375979,2.81533680626631,0.0945785735195974
4.36,-3.08,-0.270087004,name65,0.284253408071038,2528.38831997309,4.21398053328849,0.0674548460358485
1.25,-0.88,0.942213237,name66,0.200249843945008,1643.61675221044,2.73936125368407,0.0731009258730293
3.76,-2.94,-0.633866847,name67,0.240831891575846,2290.62147850195,3.81770246416992,0.0630829389760234
1.51,-3.21,-0.217093945,name68,0.186010752377383,1846.59158352124,3.07765263920206,0.0604391639290422
2.62,1.65,0.697695673,name69,0.190262975904404,1781.96512683579,2.96994187805965,0.0640628617381256
3.11,1.04,-0.738743186,name70,0.184390889145857,1844.77762579675,3.07462937632792,0.0599717450712966
-0.56,-4.66,-0.783250988,name71,0.300166620396073,2197.00813160262,3.6616802193377,0.0819751049834616
1.95,4.84,-1.065418482,name72,0.18788294228056,2452.56719230452,4.08761198717419,0.045963986520757
4.46,-2.58,-0.64322865,name73,0.190262975904404,2455.89087516145,4.09315145860242,0.0464832483793229
3.93,-2.36,-0.494537055,name74,0.241660919471892,2228.04248637108,3.71340414395181,0.0650780012365462
-2.66,2.89,-1.129222631,name75,0.240416305603426,2203.57327632706,3.67262212721176,0.0654617592760486
-4.42,-4.64,-0.705485344,name76,0.325269119345812,2996.33036804494,4.99388394674157,0.0651334958550738
-4.89,-4.12,-1.776093006,name77,0.353836120259082,3005.87627779229,5.00979379632048,0.0706288790806047
3.98,-4.38,-2.56124711,name78,0.194164878389476,2780.70207520916,4.63450345868194,0.0418955083582345
-3.06,-2.32,-0.15944232,name79,0.223606797749979,1956.01972094677,3.26003286824462,0.0685903507072249
-0.57,-2.95,0.314483464,name80,0.184390889145857,1683.15781213777,2.80526302022962,0.0657303389436776
-2.6,-1.76,-0.393571943,name81,0.292745623366089,1799.83287595438,2.99972145992397,0.0975909354508898
1.51,-4.77,-1.366881132,name82,0.256124969497314,2340.85013867658,3.90141689779429,0.0656492182730117
-2.46,-2.87,1.765079975,name83,0.192353840616713,1905.73963113927,3.17623271856546,0.0605603737699642
0.28,4.66,-0.455330342,name84,0.228473193175917,2306.17851019914,3.8436308503319,0.0594420229393748
-4.65,-3.86,-1.045595765,name85,0.178044938147648,2829.4558927913,4.71575982131884,0.0377553024101755
-0.44,-2.61,-1.053586125,name86,0.172046505340853,1619.55268602744,2.6992544767124,0.0637385273693791
4.28,-2.78,-0.660072207,name87,0.269072480941474,2430.39102717144,4.05065171195241,0.0664269604191128
