ÐòºÅ,normalization_mutual_sparseness
1,0.000792072
2,0.000792072
3,0.000792072
4,0.000792072
5,0.000792072
6,0.000792072
7,0.000792072
8,0.000792072
9,0.000792072
10,0.000792072
11,0.000793336
12,0.000793336
13,0.000793336
14,0.000793336
15,0.000793336
16,0.000793336
17,0.000793336
18,0.000793336
19,0.000793336
20,0.000793336
21,0.000793336
22,0.000793336
23,0.000797117
24,0.000797117
25,0.000797117
26,0.000797117
27,0.000797117
28,0.000797117
29,0.00080088
30,0.00080088
31,0.00080088
32,0.00080088
33,0.00080587
34,0.00080587
35,0.000807113
36,0.000807113
37,0.000807113
38,0.000807113
39,0.000807113
40,0.000807113
41,0.000807113
42,0.000807113
43,0.000807113
44,0.000807113
45,0.000807113
46,0.000807113
47,0.000807113
48,0.000807113
49,0.000807113
50,0.000807113
51,0.000807113
52,0.000807113
53,0.000807113
54,0.000807113
55,0.000807113
56,0.000810829
57,0.000810829
58,0.000810829
59,0.000810829
60,0.000816986
61,0.000816986
62,0.000816986
63,0.000816986
64,0.000816986
65,0.000816986
66,0.000816986
67,0.000816986
68,0.000816986
69,0.000816986
70,0.000816986
71,0.000816986
72,0.000816986
73,0.000816986
74,0.000816986
75,0.000816986
76,0.000821878
77,0.000821878
78,0.000821878
79,0.000821878
80,0.000821878
81,0.000821878
82,0.000823097
83,0.000823097
84,0.000823097
85,0.000823097
86,0.000823097
87,0.000823097
88,0.000823097
89,0.000823097
90,0.000823097
91,0.000823097
92,0.000823097
93,0.000825528
94,0.000825528
95,0.000825528
96,0.000825528
97,0.000825528
98,0.000825528
99,0.000825528
100,0.000825528
101,0.000825528
102,0.000825528
103,0.000825528
104,0.000825528
105,0.000825528
106,0.000825528
107,0.000825528
108,0.000825528
109,0.000825528
110,0.000825528
111,0.000825528
112,0.000825528
113,0.000825528
114,0.000825528
115,0.000825528
116,0.000825528
117,0.000825528
118,0.000825528
119,0.000825528
120,0.000825528
121,0.000825528
122,0.000832781
123,0.000832781
124,0.000832781
125,0.000832781
126,0.000832781
127,0.000832781
128,0.000832781
129,0.000832781
130,0.000832781
131,0.000832781
132,0.000836383
133,0.000836383
134,0.000836383
135,0.000836383
136,0.000836383
137,0.000836383
138,0.000836383
139,0.000836383
140,0.000836383
141,0.000836383
142,0.000836383
143,0.000836383
144,0.000836383
145,0.000836383
146,0.000841163
147,0.000841163
148,0.000841163
149,0.000841163
150,0.000841163
151,0.000841163
152,0.000841163
153,0.000841163
154,0.000841163
155,0.000841163
156,0.000844729
157,0.000844729
158,0.000844729
159,0.000844729
160,0.000844729
161,0.000844729
162,0.000844729
163,0.000844729
164,0.000849462
165,0.000849462
166,0.000849462
167,0.000849462
168,0.000849462
169,0.000849462
170,0.000849462
171,0.000849462
172,0.000849462
173,0.000851818
174,0.000851818
175,0.000851818
176,0.000851818
177,0.000851818
178,0.000851818
179,0.000851818
180,0.00085534
181,0.00085534
182,0.00085534
183,0.00085534
184,0.00085534
185,0.00085534
186,0.00085534
187,0.00085534
188,0.00085534
189,0.00085534
190,0.00085534
191,0.00085534
192,0.000860015
193,0.000860015
194,0.000860015
195,0.000860015
196,0.000861179
197,0.000861179
198,0.000861179
199,0.000861179
200,0.000861179
201,0.000861179
202,0.000861179
203,0.000861179
204,0.000861179
205,0.000861179
206,0.000864663
207,0.000864663
208,0.000864663
209,0.000864663
210,0.000864663
211,0.000864663
212,0.000869287
213,0.000869287
214,0.000869287
215,0.000869287
216,0.000869287
217,0.000869287
218,0.000869287
219,0.000869287
220,0.000869287
221,0.000869287
222,0.000869287
223,0.000869287
224,0.000869287
225,0.000869287
226,0.000869287
227,0.000869287
228,0.000869287
229,0.000869287
230,0.000869287
231,0.000869287
232,0.000879602
233,0.000879602
234,0.000879602
235,0.000879602
236,0.000879602
237,0.000881878
238,0.000881878
239,0.000881878
240,0.000881878
241,0.000881878
242,0.000881878
243,0.000883014
244,0.000883014
245,0.000883014
246,0.000883014
247,0.000883014
248,0.000883014
249,0.000883014
250,0.000883014
251,0.000883014
252,0.000883014
253,0.00088867
254,0.00088867
255,0.00088867
256,0.00088867
257,0.00088867
258,0.00088867
259,0.000892047
260,0.000892047
261,0.000892047
262,0.000892047
263,0.000892047
264,0.000895411
265,0.000895411
266,0.000895411
267,0.000895411
268,0.000895411
269,0.000895411
270,0.000895411
271,0.000895411
272,0.000895411
273,0.000895411
274,0.000895411
275,0.000895411
276,0.00089653
277,0.00089653
278,0.00089653
279,0.00089653
280,0.000899877
281,0.000899877
282,0.000899877
283,0.00090099
284,0.00090099
285,0.00090099
286,0.00090099
287,0.00090099
288,0.00090099
289,0.00090099
290,0.00090099
291,0.00090099
292,0.000905429
293,0.000905429
294,0.000905429
295,0.000905429
296,0.000905429
297,0.000905429
298,0.000906535
299,0.000906535
300,0.000906535
301,0.000906535
302,0.000906535
303,0.000906535
304,0.000906535
305,0.000906535
306,0.000906535
307,0.000906535
308,0.000906535
309,0.000913144
310,0.000913144
311,0.000913144
312,0.000913144
313,0.000918615
314,0.000918615
315,0.000918615
316,0.000918615
317,0.000921882
318,0.000921882
319,0.000921882
320,0.000921882
321,0.000921882
322,0.000921882
323,0.000921882
324,0.000921882
325,0.000921882
326,0.000921882
327,0.000922969
328,0.000922969
329,0.000922969
330,0.000922969
331,0.000922969
332,0.000922969
333,0.000922969
334,0.000922969
335,0.000922969
336,0.000922969
337,0.000922969
338,0.000922969
339,0.000922969
340,0.000922969
341,0.000922969
342,0.000922969
343,0.000922969
344,0.000922969
345,0.000922969
346,0.000931615
347,0.000931615
348,0.000931615
349,0.000931615
350,0.000931615
351,0.000934837
352,0.000934837
353,0.000934837
354,0.000934837
355,0.000934837
356,0.000934837
357,0.000934837
358,0.000940182
359,0.000940182
360,0.000940182
361,0.000940182
362,0.000940182
363,0.000940182
364,0.000940182
365,0.000941247
366,0.000941247
367,0.000941247
368,0.000941247
369,0.000941247
370,0.000941247
371,0.000941247
372,0.000941247
373,0.000941247
374,0.000941247
375,0.000941247
376,0.000944436
377,0.000944436
378,0.000944436
379,0.000944436
380,0.000944436
381,0.000944436
