Long,Lat,Value,Name
40.57919371,31.47236864,53.7609277,name1
41.33758561,-37.30131837,61.87646485,name2
-40.2459595,13.23592462,38.46865534,name3
4.68815192,-22.15017811,24.66000016,name4
46.48885352,45.75068354,67.28080673,name5
47.05927818,-34.23869183,55.32622097,name6
-1.462435128,45.71669482,45.72677353,name7
-35.81136614,30.02804689,48.55251214,name8
45.94924264,29.22073296,63.13225375,name10
-46.42883214,15.57406992,46.59851864,name11
43.39932478,34.91293059,65.30322345,name12
25.77401306,17.87351549,33.53887018,name13
-10.77729805,24.31324681,27.50781448,name14
-32.88133122,15.54778902,38.70747322,name15
-46.81671536,20.6046088,51.61586293,name16
-45.38286094,-22.3077015,51.24903612,name17
32.34578283,-40.28682188,56.58780299,name18
-18.29005199,19.4828623,29.67591678,name19
-46.55539195,45.02220488,70.42424157,name20
-11.84415429,-6.125564034,14.81568714,name21
29.51999011,26.55167881,38.24668648,name22
-1.023560421,-31.31273954,33.48886138,name23
14.63130101,-5.441379929,17.96430825,name24
25.4686682,20.93648309,34.79989643,name25
17.97026769,-22.3974923,31.25278881,name26
-0.163594802,-38.10023184,38.50734721,name28
-15.96142733,45.97439585,50.39611171,name29
-24.49048845,25.12670593,37.69053934,name31
19.90767227,0.595705167,19.71694367,name32
45.92914252,39.09032525,58.03528891,name33
-36.13755572,4.721552996,35.92912607,name34
-24.24917459,-35.07059944,37.21357007,name35
-24.5717821,34.0717256,46.10087477,name36
-25.64750313,31.42848261,42.24113677,name37
-15.0016234,42.92636232,44.71804433,name38
-24.8916142,-30.34047496,43.00193199,name39
-2.67111511,11.60446761,11.80331283,name40
33.08286279,-14.83404929,37.06591724,name41
4.972360829,8.526409115,10.7391301,name42
-21.41609812,41.71936638,48.65956944,name43
25.37290943,25.72002291,37.7097989,name44
6.782164073,-11.9554153,14.10753015,name45
-44.60498813,-42.41457104,62.45762304,name46
27.91672301,3.079755301,28.84630331,name47
-37.00937915,43.40106842,59.85966531,name48
-3.060935894,6.882366087,8.998755915,name49
-16.28773556,-48.80979305,55.36505629,name50
29.42845407,-33.78176918,43.82439036,name51
2.853313551,-18.8784958,20.17062293,name52
10.19819414,-33.43512705,33.7731119,name53
15.40790985,-23.70287155,27.64100804,name54
24.81515928,18.92145031,32.19495413,name55
-41.6178622,-4.94584015,46.199025,name56
41.33373615,-27.10230313,48.48624965,name57
32.58169775,-34.7621981,49.54755305,name58
49.61347166,3.834243526,50.18886157,name59
-5.732173022,-42.18244712,46.0043061,name60
46.18980809,-39.33472298,58.31085645,name61
27.49104647,-49.53657759,57.74745065,name62
