Long,Lat,Value,Name,min_distance,sum_min_distance,normalization_mutual_sparseness,self_mean_distance,self_density
-4.3,-4.3,7.08111831820431,name1,0.3,118.2,0.00253807106598985,6.96486111624644,0.0430733642771729
-4.3,-4,6.87281874401041,name2,0.3,118.2,0.00253807106598985,6.79193802656672,0.0441700143356061
-5,-3,6.8309518948453,name3,1,118.2,0.00846023688663283,6.78314181452125,0.147424309758527
-5,-2,6.3851648071345,name4,1,118.2,0.00846023688663283,6.44465649325734,0.155167308148423
-5,-1,6.09901951359278,name5,1,118.2,0.00846023688663283,6.23976706303689,0.160262392794083
-5,0,6,name6,1,118.2,0.00846023688663283,6.17098060860348,0.162048799603391
-5,1,6.09901951359278,name7,1,118.2,0.00846023688663283,6.2391541351788,0.160278136800886
-5,2,6.3851648071345,name8,1,118.2,0.00846023688663283,6.44314344188958,0.155203746279895
-5,3,6.8309518948453,name9,1,118.2,0.00846023688663283,6.77958450622574,0.147501664605212
-5,4,7.40312423743285,name10,1,118.2,0.00846023688663283,7.24243741052951,0.138075062760796
-5,5,8.07106781186548,name11,1,118.2,0.00846023688663283,7.82198637074068,0.127844763798189
-4,-4.3,6.87281874401041,name12,0.3,118.2,0.00253807106598985,6.79193802656672,0.044170014335606
-4,-4,6.65685424949238,name13,0.3,118.2,0.00253807106598985,6.61617617944176,0.0453434116419361
-4,-3,6,name14,1,118.2,0.00846023688663283,6.12702735171003,0.16321128380811
-4,-2,5.47213595499958,name15,1,118.2,0.00846023688663283,5.77115799257419,0.173275450314601
-4,-1,5.12310562561766,name16,1,118.2,0.00846023688663283,5.55524924601707,0.180009924976268
-4,0,5,name17,1,118.2,0.00846023688663283,5.48313084258228,0.182377555580828
-4,1,5.12310562561766,name18,1,118.2,0.00846023688663283,5.55602012885827,0.179984949083598
-4,2,5.47213595499958,name19,1,118.2,0.00846023688663283,5.77296875827235,0.173221100247088
-4,3,6,name20,1,118.2,0.00846023688663283,6.13078857110744,0.163111154201712
-4,4,6.65685424949238,name21,1,118.2,0.00846023688663283,6.62353742567688,0.150976726744743
-4,5,7.40312423743285,name22,1,118.2,0.00846023688663283,7.24110327840087,0.138100502306444
-3,-5,6.8309518948453,name23,1,118.2,0.00846023688663283,6.78314181452125,0.147424309758527
-3,-4,6,name24,1,118.2,0.00846023688663283,6.12702735171003,0.16321128380811
