Long,Lat,Value,Name,min_distance,sum_min_distance,normalization_mutual_sparseness,self_mean_distance,self_density,Long1,Lat1,Value1,Name1,dDist,dV,dV_dDist,log10_nor_mutual_sp,log10_self_sp
-5,-5,8.07106781186548,name1,1,120.371335065887,0.00830762572711047,4.88292668278482,0.20479521093888,-5,-4,7.40312423743285,name2,1,0.667943574432631,0.667943574432631,-2.08052307741282,-0.688680203395115
-5,-4,7.40312423743285,name2,0.901550121054782,120.371335065887,0.00748974097995426,4.38856463302226,0.205431660791996,-4.0984512874364,-4.00159362756208,6.72800615534189,name178,0.901550121054782,0.67511808209096,0.748841430248044,-2.1255332013822,-0.68733262282428
-5,-3,6.8309518948453,name3,1,120.371335065887,0.00830762572711047,4.34752139769963,0.230016119191299,-5,-4,7.40312423743285,name2,1,0.57217234258755,0.57217234258755,-2.08052307741282,-0.638241728197465
-5,-2,6.3851648071345,name4,1,120.371335065887,0.00830762572711047,4.54744449255951,0.219903728706572,-5,-3,6.8309518948453,name3,1,0.4457870877108,0.4457870877108,-2.08052307741282,-0.657767406642122
-5,-1,6.09901951359278,name5,1,120.371335065887,0.00830762572711047,4.86118997374231,0.20571094843063,-5,-2,6.3851648071345,name4,1,0.28614529354172,0.28614529354172,-2.08052307741282,-0.686742593495
-5,0,6,name6,1,120.371335065887,0.00830762572711047,5.26272440631839,0.190015650220902,-5,-1,6.09901951359278,name5,1,0.0990195135927801,0.0990195135927801,-2.08052307741282,-0.721210627864704
-5,1,6.09901951359278,name7,1,120.371335065887,0.00830762572711047,5.74489346245171,0.174067631808308,-5,0,6,name6,1,0.0990195135927801,0.0990195135927801,-2.08052307741282,-0.759281979221283
-5,2,6.3851648071345,name8,1,120.371335065887,0.00830762572711047,6.3042332001876,0.15862357375521,-5,1,6.09901951359278,name7,1,0.28614529354172,0.28614529354172,-2.08052307741282,-0.799632269786297
-5,3,6.8309518948453,name9,1,120.371335065887,0.00830762572711047,6.93762547964536,0.144141537033665,-5,2,6.3851648071345,name8,1,0.4457870877108,0.4457870877108,-2.08052307741282,-0.841210851211777
-5,4,7.40312423743285,name10,1,120.371335065887,0.00830762572711047,7.64111464465742,0.130870958820018,-5,3,6.8309518948453,name9,1,0.57217234258755,0.57217234258755,-2.08052307741282,-0.883156715737273
-5,5,8.07106781186548,name11,1,120.371335065887,0.00830762572711047,8.40902683729721,0.118919825010502,-5,4,7.40312423743285,name10,1,0.667943574432631,0.667943574432631,-2.08052307741282,-0.924745738527218
-4,-5,7.40312423743285,name12,0.90293873819162,120.371335065887,0.00750127709140537,4.38894154803453,0.205730408643965,-4.01134880669239,-4.09713258475359,6.73388303560529,name158,0.90293873819162,0.66924120182756,0.741181182643573,-2.12486479173705,-0.686701511269652
