Long,Lat,Value,Name,min_distance,sum_min_distance,normalization_mutual_sparseness,self_mean_distance,self_density
-5,-5,8.07106781186548,name1,1,118.2,0.00846023688663283,7.81632171483891,0.127937415639066
-5,-4,7.40312423743285,name2,1,118.2,0.00846023688663283,7.23673055451882,0.138183948188533
-5,-3,6.8309518948453,name3,1,118.2,0.00846023688663283,6.77393034577069,0.147624783390982
-5,-2,6.3851648071345,name4,1,118.2,0.00846023688663283,6.43767471112623,0.155335590080639
-5,-1,6.09901951359278,name5,1,118.2,0.00846023688663283,6.23404107010963,0.160409594475516
-5,0,6,name6,1,118.2,0.00846023688663283,6.16641259994083,0.162168843520071
-5,1,6.09901951359278,name7,1,118.2,0.00846023688663283,6.23589243524744,0.160361970701683
-5,2,6.3851648071345,name8,1,118.2,0.00846023688663283,6.44141005324414,0.155245511733314
-5,3,6.8309518948453,name9,1,118.2,0.00846023688663283,6.77958450622574,0.147501664605212
-5,4,7.40312423743285,name10,1,118.2,0.00846023688663283,7.2443008362212,0.138039546204382
-5,5,8.07106781186548,name11,1,118.2,0.00846023688663283,7.82574334441516,0.127783388234122
-4,-5,7.40312423743285,name12,1,118.2,0.00846023688663283,7.23673055451882,0.138183948188533
-4,-4,6.65685424949238,name13,1,118.2,0.00846023688663283,6.61918377182022,0.151076029080397
-4,-3,6,name14,1,118.2,0.00846023688663283,6.12658090820991,0.163223177002356
-4,-2,5.47213595499958,name15,1,118.2,0.00846023688663283,5.76910419616063,0.17333713623434
-4,-1,5.12310562561766,name16,1,118.2,0.00846023688663283,5.55279166251671,0.180089594707893
-4,0,5,name17,1,118.2,0.00846023688663283,5.48095280348531,0.182450029375204
-4,1,5.12310562561766,name18,1,118.2,0.00846023688663283,5.5546817264507,0.180028316516881
-4,2,5.47213595499958,name19,1,118.2,0.00846023688663283,5.77296875827235,0.173221100247088
-4,3,6,name20,1,118.2,0.00846023688663283,6.13252195975288,0.163065050001109
-4,4,6.65685424949238,name21,1,118.2,0.00846023688663283,6.62723759928826,0.150892432181305
-4,5,7.40312423743285,name22,1,118.2,0.00846023688663283,7.24682426044434,0.137991479310233
-3,-5,6.8309518948453,name23,1,118.2,0.00846023688663283,6.77393034577069,0.147624783390982
-3,-4,6,name24,1,118.2,0.00846023688663283,6.12658090820991,0.163223177002356
-3,-3,5.24264068711928,name25,1,118.2,0.00846023688663283,5.60982525633728,0.17825867193819
