Long,Lat,Value,Name,min_distance,sum_min_distance,normalization_mutual_sparseness,self_mean_distance,self_density
-5,-5,8.07106781186548,name1,1,121,0.00826446280991736,7.83317619270855,0.127662135435029
-5,-4,7.40312423743285,name2,1,121,0.00826446280991736,7.25356515086599,0.137863240930649
-5,-3,6.8309518948453,name3,1,121,0.00826446280991736,6.79063188254806,0.147261700721843
-5,-2,6.3851648071345,name4,1,121,0.00826446280991736,6.45408287120147,0.15494068172909
-5,-1,6.09901951359278,name5,1,121,0.00826446280991736,6.24994129451079,0.16000150287464
-5,0,6,name6,1,121,0.00826446280991736,6.18153793543395,0.16177203965178
-5,1,6.09901951359278,name7,1,121,0.00826446280991736,6.24994129451079,0.16000150287464
-5,2,6.3851648071345,name8,1,121,0.00826446280991736,6.45408287120147,0.15494068172909
-5,3,6.8309518948453,name9,1,121,0.00826446280991736,6.79063188254806,0.147261700721843
-5,4,7.40312423743285,name10,1,121,0.00826446280991736,7.25356515086599,0.137863240930649
-5,5,8.07106781186548,name11,1,121,0.00826446280991736,7.83317619270855,0.127662135435029
-4,-5,7.40312423743285,name12,1,121,0.00826446280991736,7.25356515086598,0.137863240930649
-4,-4,6.65685424949238,name13,1,121,0.00826446280991736,6.63609242522227,0.150691089864757
-4,-3,6,name14,1,121,0.00826446280991736,6.14346138906477,0.162774686234698
-4,-2,5.47213595499958,name15,1,121,0.00826446280991736,5.78579539336672,0.172837083237765
-4,-1,5.12310562561766,name16,1,121,0.00826446280991736,5.56905601513618,0.179563645487151
-4,0,5,name17,1,121,0.00826446280991736,5.49646783010506,0.181935022801887
-4,1,5.12310562561766,name18,1,121,0.00826446280991736,5.56905601513618,0.179563645487151
-4,2,5.47213595499958,name19,1,121,0.00826446280991736,5.78579539336672,0.172837083237765
-4,3,6,name20,1,121,0.00826446280991736,6.14346138906477,0.162774686234698
-4,4,6.65685424949238,name21,1,121,0.00826446280991736,6.63609242522227,0.150691089864757
-4,5,7.40312423743285,name22,1,121,0.00826446280991736,7.25356515086598,0.137863240930649
-3,-5,6.8309518948453,name23,1,121,0.00826446280991736,6.79063188254806,0.147261700721843
-3,-4,6,name24,1,121,0.00826446280991736,6.14346138906477,0.162774686234698
-3,-3,5.24264068711928,name25,1,121,0.00826446280991736,5.62680752183659,0.177720669512719
-3,-2,4.60555127546399,name26,1,121,0.00826446280991736,5.2517590396595,0.190412391819263
-3,-1,4.16227766016838,name27,1,121,0.00826446280991736,5.02456068238658,0.199022374932293
-3,0,4,name28,1,121,0.00826446280991736,4.94848610712382,0.202082006163542
-3,1,4.16227766016838,name29,1,121,0.00826446280991736,5.02456068238658,0.199022374932293
-3,2,4.60555127546399,name30,1,121,0.00826446280991736,5.25175903965951,0.190412391819263
-3,3,5.24264068711928,name31,1,121,0.00826446280991736,5.62680752183659,0.177720669512719
-3,4,6,name32,1,121,0.00826446280991736,6.14346138906477,0.162774686234698
-3,5,6.8309518948453,name33,1,121,0.00826446280991736,6.79063188254806,0.147261700721843
-2,-5,6.3851648071345,name34,1,121,0.00826446280991736,6.45408287120147,0.15494068172909
-2,-4,5.47213595499958,name35,1,121,0.00826446280991736,5.78579539336672,0.172837083237765
-2,-3,4.60555127546399,name36,1,121,0.00826446280991736,5.2517590396595,0.190412391819263
-2,-2,3.82842712474619,name37,1,121,0.00826446280991736,4.86394673827799,0.205594356560334
-2,-1,3.23606797749979,name38,1,121,0.00826446280991736,4.628999220979,0.216029416351577
-2,0,3,name39,1,121,0.00826446280991736,4.55033103596865,0.219764230798897
-2,1,3.23606797749979,name40,1,121,0.00826446280991736,4.628999220979,0.216029416351577
-2,2,3.82842712474619,name41,1,121,0.00826446280991736,4.86394673827799,0.205594356560334
-2,3,4.60555127546399,name42,1,121,0.00826446280991736,5.25175903965951,0.190412391819263
-2,4,5.47213595499958,name43,1,121,0.00826446280991736,5.78579539336672,0.172837083237765
-2,5,6.3851648071345,name44,1,121,0.00826446280991736,6.45408287120147,0.15494068172909
-1,-5,6.09901951359278,name45,1,121,0.00826446280991736,6.24994129451079,0.16000150287464
-1,-4,5.12310562561766,name46,1,121,0.00826446280991736,5.56905601513618,0.179563645487151
-1,-3,4.16227766016838,name47,1,121,0.00826446280991736,5.02456068238658,0.199022374932293
-1,-2,3.23606797749979,name48,1,121,0.00826446280991736,4.628999220979,0.216029416351577
-1,-1,2.41421356237309,name49,1,121,0.00826446280991736,4.3893169844259,0.22782587895752
-1,0,2,name50,1,121,0.00826446280991736,4.30905914005517,0.232069221493023
-1,1,2.41421356237309,name51,1,121,0.00826446280991736,4.3893169844259,0.22782587895752
-1,2,3.23606797749979,name52,1,121,0.00826446280991736,4.628999220979,0.216029416351577
-1,3,4.16227766016838,name53,1,121,0.00826446280991736,5.02456068238658,0.199022374932293
-1,4,5.12310562561766,name54,1,121,0.00826446280991736,5.56905601513618,0.179563645487151
-1,5,6.09901951359278,name55,1,121,0.00826446280991736,6.24994129451078,0.16000150287464
0,-5,6,name56,1,121,0.00826446280991736,6.18153793543395,0.16177203965178
0,-4,5,name57,1,121,0.00826446280991736,5.49646783010506,0.181935022801887
0,-3,4,name58,1,121,0.00826446280991736,4.94848610712382,0.202082006163542
0,-2,3,name59,1,121,0.00826446280991736,4.55033103596865,0.219764230798897
0,-1,2,name60,1,121,0.00826446280991736,4.30905914005517,0.232069221493023
0,0,1,name61,1,121,0.00826446280991736,4.22826671097021,0.236503529308004
0,1,2,name62,1,121,0.00826446280991736,4.30905914005517,0.232069221493023
0,2,3,name63,1,121,0.00826446280991736,4.55033103596865,0.219764230798897
0,3,4,name64,1,121,0.00826446280991736,4.94848610712382,0.202082006163542
0,4,5,name65,1,121,0.00826446280991736,5.49646783010506,0.181935022801887
0,5,6,name66,1,121,0.00826446280991736,6.18153793543395,0.161772039651779
1,-5,6.09901951359278,name67,1,121,0.00826446280991736,6.24994129451079,0.16000150287464
1,-4,5.12310562561766,name68,1,121,0.00826446280991736,5.56905601513618,0.179563645487151
1,-3,4.16227766016838,name69,1,121,0.00826446280991736,5.02456068238658,0.199022374932293
1,-2,3.23606797749979,name70,1,121,0.00826446280991736,4.628999220979,0.216029416351577
1,-1,2.41421356237309,name71,1,121,0.00826446280991736,4.3893169844259,0.22782587895752
1,0,2,name72,1,121,0.00826446280991736,4.30905914005517,0.232069221493023
1,1,2.41421356237309,name73,1,121,0.00826446280991736,4.3893169844259,0.22782587895752
1,2,3.23606797749979,name74,1,121,0.00826446280991736,4.628999220979,0.216029416351577
1,3,4.16227766016838,name75,1,121,0.00826446280991736,5.02456068238658,0.199022374932293
1,4,5.12310562561766,name76,1,121,0.00826446280991736,5.56905601513618,0.179563645487151
