Long,Lat,Value,Name,min_distance,sum_min_distance,normalization_mutual_sparseness
-4.3,-4.3,7.08111831820431,name1,0.3,118.2,0.00253807106598985
-4.3,-4,6.87281874401041,name2,0.3,118.2,0.00253807106598985
-5,-3,6.8309518948453,name3,1,118.2,0.00846023688663283
-5,-2,6.3851648071345,name4,1,118.2,0.00846023688663283
-5,-1,6.09901951359278,name5,1,118.2,0.00846023688663283
-5,0,6,name6,1,118.2,0.00846023688663283
-5,1,6.09901951359278,name7,1,118.2,0.00846023688663283
-5,2,6.3851648071345,name8,1,118.2,0.00846023688663283
-5,3,6.8309518948453,name9,1,118.2,0.00846023688663283
-5,4,7.40312423743285,name10,1,118.2,0.00846023688663283
-5,5,8.07106781186548,name11,1,118.2,0.00846023688663283
-4,-4.3,6.87281874401041,name12,0.3,118.2,0.00253807106598985
-4,-4,6.65685424949238,name13,0.3,118.2,0.00253807106598985
-4,-3,6,name14,1,118.2,0.00846023688663283
-4,-2,5.47213595499958,name15,1,118.2,0.00846023688663283
-4,-1,5.12310562561766,name16,1,118.2,0.00846023688663283
-4,0,5,name17,1,118.2,0.00846023688663283
-4,1,5.12310562561766,name18,1,118.2,0.00846023688663283
-4,2,5.47213595499958,name19,1,118.2,0.00846023688663283
-4,3,6,name20,1,118.2,0.00846023688663283
-4,4,6.65685424949238,name21,1,118.2,0.00846023688663283
-4,5,7.40312423743285,name22,1,118.2,0.00846023688663283
-3,-5,6.8309518948453,name23,1,118.2,0.00846023688663283
-3,-4,6,name24,1,118.2,0.00846023688663283
-3,-3,5.24264068711928,name25,1,118.2,0.00846023688663283
-3,-2,4.60555127546399,name26,1,118.2,0.00846023688663283
-3,-1,4.16227766016838,name27,1,118.2,0.00846023688663283
-3,0,4,name28,1,118.2,0.00846023688663283
-3,1,4.16227766016838,name29,1,118.2,0.00846023688663283
-3,2,4.60555127546399,name30,1,118.2,0.00846023688663283
-3,3,5.24264068711928,name31,1,118.2,0.00846023688663283
-3,4,6,name32,1,118.2,0.00846023688663283
-3,5,6.8309518948453,name33,1,118.2,0.00846023688663283
-2,-5,6.3851648071345,name34,1,118.2,0.00846023688663283
-2,-4,5.47213595499958,name35,1,118.2,0.00846023688663283
-2,-3,4.60555127546399,name36,1,118.2,0.00846023688663283
-2,-2,3.82842712474619,name37,1,118.2,0.00846023688663283
-2,-1,3.23606797749979,name38,1,118.2,0.00846023688663283
-2,0,3,name39,1,118.2,0.00846023688663283
-2,1,3.23606797749979,name40,1,118.2,0.00846023688663283
-2,2,3.82842712474619,name41,1,118.2,0.00846023688663283
-2,3,4.60555127546399,name42,1,118.2,0.00846023688663283
-2,4,5.47213595499958,name43,1,118.2,0.00846023688663283
-2,5,6.3851648071345,name44,1,118.2,0.00846023688663283
-1,-5,6.09901951359278,name45,1,118.2,0.00846023688663283
-1,-4,5.12310562561766,name46,1,118.2,0.00846023688663283
-1,-3,4.16227766016838,name47,1,118.2,0.00846023688663283
-1,-2,3.23606797749979,name48,1,118.2,0.00846023688663283
-1,-1,2.41421356237309,name49,1,118.2,0.00846023688663283
-1,0,2,name50,1,118.2,0.00846023688663283
-1,1,2.41421356237309,name51,1,118.2,0.00846023688663283
-1,2,3.23606797749979,name52,1,118.2,0.00846023688663283
-1,3,4.16227766016838,name53,1,118.2,0.00846023688663283
-1,4,5.12310562561766,name54,1,118.2,0.00846023688663283
-1,5,6.09901951359278,name55,1,118.2,0.00846023688663283
0,-5,6,name56,1,118.2,0.00846023688663283
0,-4,5,name57,1,118.2,0.00846023688663283
0,-3,4,name58,1,118.2,0.00846023688663283
0,-2,3,name59,1,118.2,0.00846023688663283
0,-1,2,name60,1,118.2,0.00846023688663283
0,0,1,name61,1,118.2,0.00846023688663283
0,1,2,name62,1,118.2,0.00846023688663283
0,2,3,name63,1,118.2,0.00846023688663283
0,3,4,name64,1,118.2,0.00846023688663283
0,4,5,name65,1,118.2,0.00846023688663283
0,5,6,name66,1,118.2,0.00846023688663283
1,-5,6.09901951359278,name67,1,118.2,0.00846023688663283
1,-4,5.12310562561766,name68,1,118.2,0.00846023688663283
1,-3,4.16227766016838,name69,1,118.2,0.00846023688663283
1,-2,3.23606797749979,name70,1,118.2,0.00846023688663283
1,-1,2.41421356237309,name71,1,118.2,0.00846023688663283
1,0,2,name72,1,118.2,0.00846023688663283
1,1,2.41421356237309,name73,1,118.2,0.00846023688663283
1,2,3.23606797749979,name74,1,118.2,0.00846023688663283
1,3,4.16227766016838,name75,1,118.2,0.00846023688663283
1,4,5.12310562561766,name76,1,118.2,0.00846023688663283
1,5,6.09901951359278,name77,1,118.2,0.00846023688663283
2,-5,6.3851648071345,name78,1,118.2,0.00846023688663283
2,-4,5.47213595499958,name79,1,118.2,0.00846023688663283
2,-3,4.60555127546399,name80,1,118.2,0.00846023688663283
2,-2,3.82842712474619,name81,1,118.2,0.00846023688663283
2,-1,3.23606797749979,name82,1,118.2,0.00846023688663283
2,0,3,name83,1,118.2,0.00846023688663283
2,1,3.23606797749979,name84,1,118.2,0.00846023688663283
2,2,3.82842712474619,name85,1,118.2,0.00846023688663283
2,3,4.60555127546399,name86,1,118.2,0.00846023688663283
2,4,5.47213595499958,name87,1,118.2,0.00846023688663283
2,5,6.3851648071345,name88,1,118.2,0.00846023688663283
3,-5,6.8309518948453,name89,1,118.2,0.00846023688663283
3,-4,6,name90,1,118.2,0.00846023688663283
3,-3,5.24264068711928,name91,1,118.2,0.00846023688663283
3,-2,4.60555127546399,name92,1,118.2,0.00846023688663283
3,-1,4.16227766016838,name93,1,118.2,0.00846023688663283
3,0,4,name94,1,118.2,0.00846023688663283
3,1,4.16227766016838,name95,1,118.2,0.00846023688663283
3,2,4.60555127546399,name96,1,118.2,0.00846023688663283
